Topic,Count,Name,Representation,Representative_Docs
60,30,60_climate_ghg_change_impact,"['climate', 'ghg', 'change', 'impact', 'adaptation', 'poverty', 'equilibrium', 'rice', 'agriculture', 'dssatcanegro']","['impact climate change rice production nepal', 'impact climate change rice production nepal', 'impact ghg emission temperature precipitation rice production nepal climate variable mainly greenhouse gas ghg emission temperature precipitation rainfall affecting crop production across world nepal vulnerable country term climate change raised attention researcher policymakers recent year scenario study attempted find impact ghg emission temperature precipitation rice production nepal study based time serried data finding show ghg emission significant positive impact rice production however annual average mean temperature significant negative impact rice production besides negative coefficient precipitation affect rice production significantly study recommends concrete climate change adaptation practice major rice production area nepal mainly terai hilly belt']"
61,30,61_sexual_sex_premarital_victim,"['sexual', 'sex', 'premarital', 'victim', 'assault', 'aor', 'injury', 'case', 'perpetrator', 'abuse']","['factor affecting premarital sex among nepalese undergraduate premarital sex considered social taboo immoral act nepal however widespread view young men woman becoming ease others company beginning sexual experience prior marriage putting risk consequence unsafe sex research aim evaluate factor associated premarital sexual behavior consequence among nepalese collegegoing adolescent youth crosssectional webbased study included nepalese student age enrolled bachelor degree program discipline health science data collected student online using selfadministered structured questionnaire pearsons chisquare logistic regression used examine relationship independent outcome variable participant dating experience premarital sex threefourths participant premarital sex age year age sexual debut ranged year major reason sexual debut desire curiosity continuation love relationship peer pressure onethird student reported two sex partner intercourse commercial sex worker among student premarital sex participant sex partner undergo abortion unintended pregnancy illiterate parent aor ci high pocket money aor ci increased dating culture aor ci close friend experienced premarital sex aor ci exposure pornography aor ci predictor premarital sex among nepalese college student demonstrates importance sex relationship education program led qualified peer educator educating young people safe sexual activity', 'factor affecting premarital sex among nepalese undergraduate premarital sex considered social taboo immoral act nepal however widespread view young men woman becoming ease others company beginning sexual experience prior marriage putting risk consequence unsafe sex research aim evaluate factor associated premarital sexual behavior consequence among nepalese collegegoing adolescent youth crosssectional webbased study included nepalese student age enrolled bachelor degree program discipline health science data collected student online using selfadministered structured questionnaire pearsons chisquare logistic regression used examine relationship independent outcome variable participant dating experience premarital sex threefourths participant premarital sex age year age sexual debut ranged year major reason sexual debut desire curiosity continuation love relationship peer pressure onethird student reported two sex partner intercourse commercial sex worker among student premarital sex participant sex partner undergo abortion unintended pregnancy illiterate parent aor ci high pocket money aor ci increased dating culture aor ci close friend experienced premarital sex aor ci exposure pornography aor ci predictor premarital sex among nepalese college student demonstrates importance sex relationship education program led qualified peer educator educating young people safe sexual activity', 'factor affecting premarital sex among nepalese undergraduate premarital sex considered social taboo immoral act nepal however widespread view young men woman becoming ease others company beginning sexual experience prior marriage putting risk consequence unsafe sex research aim evaluate factor associated premarital sexual behavior consequence among nepalese collegegoing adolescent youth crosssectional webbased study included nepalese student age enrolled bachelor degree program discipline health science data collected student online using selfadministered structured questionnaire pearsons chisquare logistic regression used examine relationship independent outcome variable participant dating experience premarital sex threefourths participant premarital sex age year age sexual debut ranged year major reason sexual debut desire curiosity continuation love relationship peer pressure onethird student reported two sex partner intercourse commercial sex worker among student premarital sex participant sex partner undergo abortion unintended pregnancy illiterate parent aor ci high pocket money aor ci increased dating culture aor ci close friend experienced premarital sex aor ci exposure pornography aor ci predictor premarital sex among nepalese college student demonstrates importance sex relationship education program led qualified peer educator educating young people safe sexual activity']"
62,28,62_brick_mapping_geological_land,"['brick', 'mapping', 'geological', 'land', 'slate', 'spatial', 'administrative', 'boundary', 'use', 'unit']","['scale spatial representation restructuring administrative boundary gi mapping bajhang district nepal census socioeconomic survey data collected household settlement level aggregated result presented specific administrative unit wide increasing availability census socioeconomic data tool like gi ease use advance methodology allowed increasing refined gi mapping census variable however less emphasized result analysis presentation always dependent unit analysis data aggregation choice data classification method spatial scale effect mapping result administrative boundary restructured necessitates aggregation census data one administrative level another context current paper explores scale zoning effect changing boundary changing number unit data aggregation mapping census data explores effect four data classification method two spatial scale secondary data source like local administrative boundary bajhang district economically active population agriculture selected representative census variable mapping gi tool applied data mapping analysis study found higher calculated correlation value restructured spatial unit distribution number spatial unit varied significantly four data classification method plotted old boundary much variation case newly restructured boundary study found zoning particularly smaller larger unit blurred spatial pattern visualization leading loss preferential information study concludes restructuring administrative boundary larger unit simplified detail spatial representation introduced additional generalization policy level analysis use data available one level spatial unit aggregated higher level analyzed carefully using different data classification method visualization tool scaled spatial representation matter planning policy aspect meaningful analyze data different spatial scale visualize identify spatial variation', 'scale spatial representation restructuring administrative boundary gi mapping bajhang district nepal census socioeconomic survey data collected household settlement level aggregated result presented specific administrative unit wide increasing availability census socioeconomic data tool like gi ease use advance methodology allowed increasing refined gi mapping census variable however less emphasized result analysis presentation always dependent unit analysis data aggregation choice data classification method spatial scale effect mapping result administrative boundary restructured necessitates aggregation census data one administrative level another context current paper explores scale zoning effect changing boundary changing number unit data aggregation mapping census data explores effect four data classification method two spatial scale secondary data source like local administrative boundary bajhang district economically active population agriculture selected representative census variable mapping gi tool applied data mapping analysis study found higher calculated correlation value restructured spatial unit distribution number spatial unit varied significantly four data classification method plotted old boundary much variation case newly restructured boundary study found zoning particularly smaller larger unit blurred spatial pattern visualization leading loss preferential information study concludes restructuring administrative boundary larger unit simplified detail spatial representation introduced additional generalization policy level analysis use data available one level spatial unit aggregated higher level analyzed carefully using different data classification method visualization tool scaled spatial representation matter planning policy aspect meaningful analyze data different spatial scale visualize identify spatial variation', 'scale spatial representation restructuring administrative boundary gi mapping bajhang district nepal census socioeconomic survey data collected household settlement level aggregated result presented specific administrative unit wide increasing availability census socioeconomic data tool like gi ease use advance methodology allowed increasing refined gi mapping census variable however less emphasized result analysis presentation always dependent unit analysis data aggregation choice data classification method spatial scale effect mapping result administrative boundary restructured necessitates aggregation census data one administrative level another context current paper explores scale zoning effect changing boundary changing number unit data aggregation mapping census data explores effect four data classification method two spatial scale secondary data source like local administrative boundary bajhang district economically active population agriculture selected representative census variable mapping gi tool applied data mapping analysis study found higher calculated correlation value restructured spatial unit distribution number spatial unit varied significantly four data classification method plotted old boundary much variation case newly restructured boundary study found zoning particularly smaller larger unit blurred spatial pattern visualization leading loss preferential information study concludes restructuring administrative boundary larger unit simplified detail spatial representation introduced additional generalization policy level analysis use data available one level spatial unit aggregated higher level analyzed carefully using different data classification method visualization tool scaled spatial representation matter planning policy aspect meaningful analyze data different spatial scale visualize identify spatial variation']"
63,28,63_peer_initiative_na_aortic,"['peer', 'initiative', 'na', 'aortic', 'progress', 'review', 'surgery', 'international', 'status', 'report']","['peer review initiative nepal', 'peer review initiative nepal', 'peer review initiative nepal']"
64,28,64_typhus_scrub_odd_tsutsugamushi,"['typhus', 'scrub', 'odd', 'tsutsugamushi', 'antigenic', 'febrile', 'vaccine', 'confidence', 'orientia', 'interval']","['sero prevalence scrub typhus among suspected case selected area nepal introduction scrub typhus miteborne acute febrile infectious illness caused orientia tsutsugamushi causative organism orientia tsutsugamushi transmitted human being bite larval stage chigger trombiculid mite leptotrombidium delience disease common rural area low income country difficult differentiate clinically tropical infection malaria dengue enteric fever leptospirosis hence study aim determine seroprevalence scrub typhus among acute febrile illness patient attending different hospital chitwan district method study based patient suspected scrub typhus case chitwan district march august blood sample collected suspected patient scrub typhus acute febrile illness igm antibody orientia tsusugamushi detected using scrub typhus detect kit bios international usa result total sample positive igm antibody multivariate analysis demonstrated following factor significantly associated scrub typhus female odd ratio p confidence interval ci house near grassland odd ratio p confidence interval ci piling weed house odd ratio p confidence interval ci presence mouse inside house odd ratio p confidence interval ci working field odd ratio p confidence interval ci case enrolled presented fever followed headache nausea shortness breath abdominal pain jaundice hypertension copd tachypnoea diabetes eschar seizure conclusion study proportion scrub typhus infection among acute febrile case finding also explored burden scrub typhus relation demographic trend risk factor clinical characteristic finding different laboratory parameter early diagnosis appropriate treatment along health education vector control measure best way prevent management scrub typhus', 'sero prevalence scrub typhus among suspected case selected area nepal introduction scrub typhus miteborne acute febrile infectious illness caused orientia tsutsugamushi causative organism orientia tsutsugamushi transmitted human being bite larval stage chigger trombiculid mite leptotrombidium delience disease common rural area low income country difficult differentiate clinically tropical infection malaria dengue enteric fever leptospirosis hence study aim determine seroprevalence scrub typhus among acute febrile illness patient attending different hospital chitwan district method study based patient suspected scrub typhus case chitwan district march august blood sample collected suspected patient scrub typhus acute febrile illness igm antibody orientia tsusugamushi detected using scrub typhus detect kit bios international usa result total sample positive igm antibody multivariate analysis demonstrated following factor significantly associated scrub typhus female odd ratio p confidence interval ci house near grassland odd ratio p confidence interval ci piling weed house odd ratio p confidence interval ci presence mouse inside house odd ratio p confidence interval ci working field odd ratio p confidence interval ci case enrolled presented fever followed headache nausea shortness breath abdominal pain jaundice hypertension copd tachypnoea diabetes eschar seizure conclusion study proportion scrub typhus infection among acute febrile case finding also explored burden scrub typhus relation demographic trend risk factor clinical characteristic finding different laboratory parameter early diagnosis appropriate treatment along health education vector control measure best way prevent management scrub typhus', 'sero prevalence scrub typhus among suspected case selected area nepal introduction scrub typhus miteborne acute febrile infectious illness caused orientia tsutsugamushi causative organism orientia tsutsugamushi transmitted human being bite larval stage chigger trombiculid mite leptotrombidium delience disease common rural area low income country difficult differentiate clinically tropical infection malaria dengue enteric fever leptospirosis hence study aim determine seroprevalence scrub typhus among acute febrile illness patient attending different hospital chitwan district method study based patient suspected scrub typhus case chitwan district march august blood sample collected suspected patient scrub typhus acute febrile illness igm antibody orientia tsusugamushi detected using scrub typhus detect kit bios international usa result total sample positive igm antibody multivariate analysis demonstrated following factor significantly associated scrub typhus female odd ratio p confidence interval ci house near grassland odd ratio p confidence interval ci piling weed house odd ratio p confidence interval ci presence mouse inside house odd ratio p confidence interval ci working field odd ratio p confidence interval ci case enrolled presented fever followed headache nausea shortness breath abdominal pain jaundice hypertension copd tachypnoea diabetes eschar seizure conclusion study proportion scrub typhus infection among acute febrile case finding also explored burden scrub typhus relation demographic trend risk factor clinical characteristic finding different laboratory parameter early diagnosis appropriate treatment along health education vector control measure best way prevent management scrub typhus']"
65,28,65_tantric_hindu_buddhism_healer,"['tantric', 'hindu', 'buddhism', 'healer', 'hinduism', 'possession', 'tantrism', 'newar', 'spiritual', 'ritual']","['tantric buddhism nepal tantrism science practical spiritualism tantrism practical way enlightenment perfect mix theoretical empirical knowledge liberation although different argument tantric buddhism find basic overview tantric buddhism study conducted literature review tantric buddhism nepal conclusion study found great contradiction buddhist philosophy law cause effect difficult make ritual action conform law demonstrated', 'hinduism nepal pnepal held unique status world hindu kingdom collapse centuriesold hindu monarchy idea nepal asal hindustan pure land hindu stiller cited hindu monarchy polity collapse promoted political unifier modern nepal prithvi narayan shah eighteenth century seed planted much earlier claim persisted well modern period grounded fact nepal geographically politically isolated latter reinforced ruler strict policy isolationism nepal thus avoided muslim british rule transformed much rest indian subcontinent contrast oftquoted word french indologist sylvain lvi nepal india making lvi p cited general overview nepal preserved ancient feature hindu buddhist tantric religion lost otherwise transformed elsewhere indian subcontinent included animal sacrifice tantric ritual abound kathmandu valley unique syncretism hinduism buddhism remain ample evidence nepal today historically nepal referred kathmandu valley surrounding environs domain newars indigenous inhabitant valley medieval three kingdom kathmandu lalitpurpatan bhaktapur newars urban dweller dual caste system recognizes hierarchy newar hindu buddhist readily categorizable many newars worship hindu buddhist deity participate variety ritual newar religion also strongly influenced tantrism tantric hindu kta goddess element practice permeate kathmandu valley numerous fierce goddess figure prominently contrast newar hinduism tantric influence another form hinduism practiced nepal known parbatiy hinduism parbatiy also known today khasarya refers dalit highcaste hindu brahmin kshatriya locally known nepal bahuns chetris hail hill outside kathmandu valley often referred english nowadays hill hindu gorkha king prithvi narayan shah defeat valley eighteenth century parbatiy hindu introduced brahmanical form hinduism nepal derived parallel brahmanical hindu formation india parbatiy newar form hinduism neither identical entirely distinct parbatiy hindu parbatiy hinduismnamely ruling elite religion fundamental legitimating rulehave hegemonic status modern nepal declaration nepal secular republic collapse hindu monarchy aftermath maoist insurgency affords new opportunity lens examine hinduism nepal role nepali society culture politics moving forwardp', 'hinduism nepal pnepal held unique status world hindu kingdom collapse centuriesold hindu monarchy idea nepal asal hindustan pure land hindu stiller cited hindu monarchy polity collapse promoted political unifier modern nepal prithvi narayan shah eighteenth century seed planted much earlier claim persisted well modern period grounded fact nepal geographically politically isolated latter reinforced ruler strict policy isolationism nepal thus avoided muslim british rule transformed much rest indian subcontinent contrast oftquoted word french indologist sylvain lvi nepal india making lvi p cited general overview nepal preserved ancient feature hindu buddhist tantric religion lost otherwise transformed elsewhere indian subcontinent included animal sacrifice tantric ritual abound kathmandu valley unique syncretism hinduism buddhism remain ample evidence nepal today historically nepal referred kathmandu valley surrounding environs domain newars indigenous inhabitant valley medieval three kingdom kathmandu lalitpurpatan bhaktapur newars urban dweller dual caste system recognizes hierarchy newar hindu buddhist readily categorizable many newars worship hindu buddhist deity participate variety ritual newar religion also strongly influenced tantrism tantric hindu kta goddess element practice permeate kathmandu valley numerous fierce goddess figure prominently contrast newar hinduism tantric influence another form hinduism practiced nepal known parbatiy hinduism parbatiy also known today khasarya refers dalit highcaste hindu brahmin kshatriya locally known nepal bahuns chetris hail hill outside kathmandu valley often referred english nowadays hill hindu gorkha king prithvi narayan shah defeat valley eighteenth century parbatiy hindu introduced brahmanical form hinduism nepal derived parallel brahmanical hindu formation india parbatiy newar form hinduism neither identical entirely distinct parbatiy hindu parbatiy hinduismnamely ruling elite religion fundamental legitimating rulehave hegemonic status modern nepal declaration nepal secular republic collapse hindu monarchy aftermath maoist insurgency affords new opportunity lens examine hinduism nepal role nepali society culture politics moving forwardp']"
66,27,66_education_school_basic_policy,"['education', 'school', 'basic', 'policy', 'privatisation', 'citizenship', 'free', 'compulsory', 'steam', 'illegality']","['critical appraisal education policy practice ensuring free compulsory school education insight nepal government nepal implemented various program promote advancement education present research focus school education nepal giving pupil', 'education policy practice basic primary education development nepal education policy allow management guide operation without constant management intervention education policy nepal issue regarding education policy practice', 'critical review education policy provision nepal focusing basic education nepal basic primary education policy provision plan education act basic primary education policy basic education policy practice nepal']"
67,27,67_trade_deficit_gdp_real,"['trade', 'deficit', 'gdp', 'real', 'export', 'indian', 'causality', 'longrun', 'growth', 'balance']","['effect fiscal variable external sector deficit nepal reference indian factor basic intent paper examine effect fiscal variable trade current account deficit nepal considering indian factor using time series data year study period englegrangers cointegration error correction model used examine fiscal effect trade deficit ardl model used examine effect current account deficit basic variable used analysis government expenditure gdp ratio budget deficit gdp ratio trade deficit gdp ratio broad money supply gdp ratio trade openness real exchange rate real percapita indian gdp data taken ministry finance nepal rastra bank world development indicator finding show government expenditure gdp ratio trade openness positively affect trade deficit domestic factor real percapita indian gdp positively affect trade deficit external factor also budget deficit gdp ratio positive effect broad money supply gdp ratio negative effect current account deficit domestic factor real exchange rate negatively real indian percapita gdp positively driving nepal current account deficit external factor study identifies real exchange rate indian rupee indian real percapita gdp financial development novel explanatory variable current account deficit therefore provides additional evidence external deficit context nepal', 'effect fiscal variable external sector deficit nepal reference indian factor basic intent paper examine effect fiscal variable trade current account deficit nepal considering indian factor using time series data year study period englegrangers cointegration error correction model used examine fiscal effect trade deficit ardl model used examine effect current account deficit basic variable used analysis government expenditure gdp ratio budget deficit gdp ratio trade deficit gdp ratio broad money supply gdp ratio trade openness real exchange rate real percapita indian gdp data taken ministry finance nepal rastra bank world development indicator finding show government expenditure gdp ratio trade openness positively affect trade deficit domestic factor real percapita indian gdp positively affect trade deficit external factor also budget deficit gdp ratio positive effect broad money supply gdp ratio negative effect current account deficit domestic factor real exchange rate negatively real indian percapita gdp positively driving nepal current account deficit external factor study identifies real exchange rate indian rupee indian real percapita gdp financial development novel explanatory variable current account deficit therefore provides additional evidence external deficit context nepal', 'effect fiscal variable external sector deficit nepal reference indian factor basic intent paper examine effect fiscal variable trade current account deficit nepal considering indian factor using time series data year study period englegrangers cointegration error correction model used examine fiscal effect trade deficit ardl model used examine effect current account deficit basic variable used analysis government expenditure gdp ratio budget deficit gdp ratio trade deficit gdp ratio broad money supply gdp ratio trade openness real exchange rate real percapita indian gdp data taken ministry finance nepal rastra bank world development indicator finding show government expenditure gdp ratio trade openness positively affect trade deficit domestic factor real percapita indian gdp positively affect trade deficit external factor also budget deficit gdp ratio positive effect broad money supply gdp ratio negative effect current account deficit domestic factor real exchange rate negatively real indian percapita gdp positively driving nepal current account deficit external factor study identifies real exchange rate indian rupee indian real percapita gdp financial development novel explanatory variable current account deficit therefore provides additional evidence external deficit context nepal']"
68,27,68_tunnel_shaft_rock_mass,"['tunnel', 'shaft', 'rock', 'mass', 'excavation', 'insitu', 'stress', 'pressure', 'cave', 'unlined']","['challenge shaft excavation nepal himalaya case study hydropower project excavation long blind shaft one difficult risky nepal himalaya hydropower development excavation shaft greater length challenge due vertical inclined orientation limited space available technology changing geological condition amongst alimak raise climber shaft sinking raise boring excavation method alimak raise climber commonly used nepal selection excavation method depends geological condition size length shaft access course cost pressure shaft jhimruk khimti chilime kaligandagi kulekhani khani khola upper tamakoshi hydroelectric project excavated help conventional alimak raise climber method severe overbreak problem faced khimti hydropower project construction upper inclined pressure shaft whereas recently vertical pressure shaft upper tamakoshi vertical pressure shaft khani khola hydroelectric project dolakha constructed successfully raise boring method tried upper tamakoshi project could succeed due deviation pilot hole hence shaft sinking alimak raise climber used', 'estimating tunnel strain weak schistose rock mass state insitu stress anisotropy tunnel excavated weak schistose rock mass high overburden rock cover prone instability form tunnel deformation deformation tunnel take place extent irreversible significant magnitude often known tunnel squeezing order limit plastic deformation tunnel desirable response rock mass induced stress known requirement rock support estimated contrary assumption uniform insitu stress made analytical solution elastoplastic analysis large degree stress anisotropy condition prevails tunnelling condition effect anisotropic stress condition lead varying degree deformation around tunnel contour therefore stress anisotropy also important factor need addressed ensure proper support design tunnel paper discusses interrelationship among rock mass property insitu stress including horizontal vertical stress ratio tunnel support pressure deformation study based tunnel case nepal himalaya three completed tunnel project selected moderate large tunnel deformation recorded long term deformation record analyzed assess time independent time dependent deformation result analysis tunnel weak schistose rock mass stress anisotropy state show good correlation among tunnel strain rock mass shear modulus support pressure vertical stress stress ratio horizontal vertical stress exists moreover study also show significant amount time dependent deformation occur weak rock mass deformation found high schist micaceous phyllite moderate graphitic phyllite low siliceous phyllite suggested relationship used basis early estimate instantaneous final deformation corresponding requirement support pressure tunnel wall weak schistose rock massdoi httpdxdoiorghnvihydro nepal journal water energy environmentissue january page upload date march', 'estimating tunnel strain weak schistose rock mass state insitu stress anisotropy tunnel excavated weak schistose rock mass high overburden rock cover prone instability form tunnel deformation deformation tunnel take place extent irreversible significant magnitude often known tunnel squeezing order limit plastic deformation tunnel desirable response rock mass induced stress known requirement rock support estimated contrary assumption uniform insitu stress made analytical solution elastoplastic analysis large degree stress anisotropy condition prevails tunnelling condition effect anisotropic stress condition lead varying degree deformation around tunnel contour therefore stress anisotropy also important factor need addressed ensure proper support design tunnel paper discusses interrelationship among rock mass property insitu stress including horizontal vertical stress ratio tunnel support pressure deformation study based tunnel case nepal himalaya three completed tunnel project selected moderate large tunnel deformation recorded long term deformation record analyzed assess time independent time dependent deformation result analysis tunnel weak schistose rock mass stress anisotropy state show good correlation among tunnel strain rock mass shear modulus support pressure vertical stress stress ratio horizontal vertical stress exists moreover study also show significant amount time dependent deformation occur weak rock mass deformation found high schist micaceous phyllite moderate graphitic phyllite low siliceous phyllite suggested relationship used basis early estimate instantaneous final deformation corresponding requirement support pressure tunnel wall weak schistose rock massdoi httpdxdoiorghnvihydro nepal journal water energy environmentissue january page upload date march']"
69,27,69_tourism_nationalism_ict_industry,"['tourism', 'nationalism', 'ict', 'industry', 'nation', 'etourism', 'digital', 'tourist', 'frontier', 'amp']","['nepal tourism', 'nepal tourism', 'nepal tourism']"
70,27,70_multidimensional_poverty_mpi_index,"['multidimensional', 'poverty', 'mpi', 'index', 'action', 'towards', 'commission', 'computation', 'report', 'rethinking']","['nepal multidimensional poverty index analysis towards action', 'nepal multidimensional poverty index analysis towards action', 'nepal multidimensional poverty index analysis towards action']"
71,27,71_sandstone_thrust_abrasion_polycentric,"['sandstone', 'thrust', 'abrasion', 'polycentric', 'formation', 'lss', 'durability', 'siwalik', 'coarsegrained', 'ms']","['durability sandstone subhimalaya central nepal subhimalaya nepal experience subtropical climate geologically young delicate sedimentary rock prone chemical physical weathering consequent erosion main aim study identify evaluate durability characteristic sandstone slaking freezingthawing abrasion lithosomes characterized field following laboratory test included measurement dry density specific gravity water absorption slake durability index sdi sulphate soundness s los angle abrasion laa sandstone lower siwalik subgroup lss massive crossstratified fine mediumgrained occasionally calcareous whereas sandstone middle siwalik subgroup ms mostly crossstratified massive medium coarsegrained saltandpepper appearance uncommonly calcareous sandstone four different type deterioration high extremely high sdi majority sandstone displayed similar slaking tendency fivecycle s test majority sandstone lss ms experienced low final weight loss however two lss three ms experienced greater final weight loss laa value range except two sandstone lss rest sample exceeded abrasion showing incompetent term abrasion test highly susceptible abrasion uniformity factor range indicating sandstone nonuniform hardness correlation among physical parameter durability index weak moderate probably varied nature sandstone', 'durability sandstone subhimalaya central nepal subhimalaya nepal experience subtropical climate geologically young delicate sedimentary rock prone chemical physical weathering consequent erosion main aim study identify evaluate durability characteristic sandstone slaking freezingthawing abrasion lithosomes characterized field following laboratory test included measurement dry density specific gravity water absorption slake durability index sdi sulphate soundness s los angle abrasion laa sandstone lower siwalik subgroup lss massive crossstratified fine mediumgrained occasionally calcareous whereas sandstone middle siwalik subgroup ms mostly crossstratified massive medium coarsegrained saltandpepper appearance uncommonly calcareous sandstone four different type deterioration high extremely high sdi majority sandstone displayed similar slaking tendency fivecycle s test majority sandstone lss ms experienced low final weight loss however two lss three ms experienced greater final weight loss laa value range except two sandstone lss rest sample exceeded abrasion showing incompetent term abrasion test highly susceptible abrasion uniformity factor range indicating sandstone nonuniform hardness correlation among physical parameter durability index weak moderate probably varied nature sandstone', 'durability sandstone subhimalaya central nepal subhimalaya nepal experience subtropical climate geologically young delicate sedimentary rock prone chemical physical weathering consequent erosion main aim study identify evaluate durability characteristic sandstone slaking freezingthawing abrasion lithosomes characterized field following laboratory test included measurement dry density specific gravity water absorption slake durability index sdi sulphate soundness s los angle abrasion laa sandstone lower siwalik subgroup lss massive crossstratified fine mediumgrained occasionally calcareous whereas sandstone middle siwalik subgroup ms mostly crossstratified massive medium coarsegrained saltandpepper appearance uncommonly calcareous sandstone four different type deterioration high extremely high sdi majority sandstone displayed similar slaking tendency fivecycle s test majority sandstone lss ms experienced low final weight loss however two lss three ms experienced greater final weight loss laa value range except two sandstone lss rest sample exceeded abrasion showing incompetent term abrasion test highly susceptible abrasion uniformity factor range indicating sandstone nonuniform hardness correlation among physical parameter durability index weak moderate probably varied nature sandstone']"
72,27,72_mw_resource_myth_india,"['mw', 'resource', 'myth', 'india', 'water', 'flood', 'storage', 'stressed', 'mahakali', 'potential']","['short critical note water wealth nepal message nepal rich water resource spread nepal since long time one look total quantum water flow nepal one year message sound valid flow water anybodys control flow occurs gravity precipitate exit water spring considered two dimension volume time opinion nepal water stressed time year flood stressed monsoon drought stressed rest year nepal rich icemass depleting alarming rate due global warming giving rise formation increase volume glacial lake increase vulnerability risk economic activity along river basin similarly nepal rich ing round water resource total annual replenish able reserve bcm mostly located terai plain debatable surface water mostly fall rain monsoon cascade crossing india often devastating pass nepal water resource generally related hydropower potential calculated mw dr hari man shrestha back sixty hydropower potential number based energy potential market therefore changing time time due change demand pattern market rate myopic view looking himalayan water relating energy production energy production tafjune comprises meager percentage total benefit lie mostly multiple use water directed towards following two aspect reduction loss life property due flood unwanted mountain phenomenon mostly flood related disaster risk reduction flood water management converting curse flood asset way multiple us consumptive well nonconsumptive including food revolution navigation fishery water supply replenishment ground water energy production recreation', 'short critical note water wealth nepal message nepal rich water resource spread nepal since long time one look total quantum water flow nepal one year message sound valid flow water anybodys control flow occurs gravity precipitate exit water spring considered two dimension volume time opinion nepal water stressed time year flood stressed monsoon drought stressed rest year nepal rich icemass depleting alarming rate due global warming giving rise formation increase volume glacial lake increase vulnerability risk economic activity along river basin similarly nepal rich ing round water resource total annual replenish able reserve bcm mostly located terai plain debatable surface water mostly fall rain monsoon cascade crossing india often devastating pass nepal water resource generally related hydropower potential calculated mw dr hari man shrestha back sixty hydropower potential number based energy potential market therefore changing time time due change demand pattern market rate myopic view looking himalayan water relating energy production energy production tafjune comprises meager percentage total benefit lie mostly multiple use water directed towards following two aspect reduction loss life property due flood unwanted mountain phenomenon mostly flood related disaster risk reduction flood water management converting curse flood asset way multiple us consumptive well nonconsumptive including food revolution navigation fishery water supply replenishment ground water energy production recreation', 'short critical note water wealth nepal message nepal rich water resource spread nepal since long time one look total quantum water flow nepal one year message sound valid flow water anybodys control flow occurs gravity precipitate exit water spring considered two dimension volume time opinion nepal water stressed time year flood stressed monsoon drought stressed rest year nepal rich icemass depleting alarming rate due global warming giving rise formation increase volume glacial lake increase vulnerability risk economic activity along river basin similarly nepal rich ing round water resource total annual replenish able reserve bcm mostly located terai plain debatable surface water mostly fall rain monsoon cascade crossing india often devastating pass nepal water resource generally related hydropower potential calculated mw dr hari man shrestha back sixty hydropower potential number based energy potential market therefore changing time time due change demand pattern market rate myopic view looking himalayan water relating energy production energy production tafjune comprises meager percentage total benefit lie mostly multiple use water directed towards following two aspect reduction loss life property due flood unwanted mountain phenomenon mostly flood related disaster risk reduction flood water management converting curse flood asset way multiple us consumptive well nonconsumptive including food revolution navigation fishery water supply replenishment ground water energy production recreation']"
73,25,73_nasal_stature_height_ear,"['nasal', 'stature', 'height', 'ear', 'perianal', 'mm', 'mean', 'imaging', 'male', 'mr']","['estimation stature nasal length introduction estimation stature purpose identification significant forensic importance technique based principle bone human body part correlate positively stature stature estimated measurement various body part arm leg foot finger facial height nasal height etc aim study correlate stature nepalese nasal height estimate stature nasal heightmethods crosssectional study healthy adult comprising male female age group year carried study carried central nepal people various part nepal migrated total body height nasal height recorded stadiometer sliding caliper respectivelyresults mean total body height male female cm cm respectively mean nasal height male female cm cm respectively study observed male female nasal height positive partial correlation stature r male female stature nepali population could calculated staturex nasal height male staturex nasal height femaleconclusions nepali male female nasal height positive partial correlation stature r male female stature nepali population could calculated staturex nasal height male staturex nasal height femalekeywords estimation stature nasal height pubmed', 'estimation stature nasal length introduction estimation stature purpose identification significant forensic importance technique based principle bone human body part correlate positively stature stature estimated measurement various body part arm leg foot finger facial height nasal height etc aim study correlate stature nepalese nasal height estimate stature nasal heightmethods crosssectional study healthy adult comprising male female age group year carried study carried central nepal people various part nepal migrated total body height nasal height recorded stadiometer sliding caliper respectivelyresults mean total body height male female cm cm respectively mean nasal height male female cm cm respectively study observed male female nasal height positive partial correlation stature r male female stature nepali population could calculated staturex nasal height male staturex nasal height femaleconclusions nepali male female nasal height positive partial correlation stature r male female stature nepali population could calculated staturex nasal height male staturex nasal height femalekeywords estimation stature nasal height pubmed', 'estimation stature nasal length introduction estimation stature purpose identification significant forensic importance technique based principle bone human body part correlate positively stature stature estimated measurement various body part arm leg foot finger facial height nasal height etc aim study correlate stature nepalese nasal height estimate stature nasal heightmethods crosssectional study healthy adult comprising male female age group year carried study carried central nepal people various part nepal migrated total body height nasal height recorded stadiometer sliding caliper respectivelyresults mean total body height male female cm cm respectively mean nasal height male female cm cm respectively study observed male female nasal height positive partial correlation stature r male female stature nepali population could calculated staturex nasal height male staturex nasal height femaleconclusions nepali male female nasal height positive partial correlation stature r male female stature nepali population could calculated staturex nasal height male staturex nasal height femalekeywords estimation stature nasal height pubmed']"
